keyword,volume,kd,cpc,competition,intent,intent_secondary,seed
desk pad,1900,0,0.71,HIGH,transactional,,office chair canada
herman miller office chair,1900,6,1.78,HIGH,transactional,,office chair canada
flexispot standing desk,1600,0,1.51,HIGH,transactional,,office chair canada
desk fan,1600,0,0.61,HIGH,transactional,,office chair canada
best ergonomic office chair,1600,14,3.97,HIGH,commercial,transactional,office chair canada
office background,1600,0,0.17,LOW,informational,commercial,office chair canada
heritage office furnishings,1600,8,12.49,LOW,navigational,,office chair canada
desk with hutch,1600,0,0.88,HIGH,transactional,,office chair canada
meredith office,1600,22,,LOW,navigational,,office chair canada
office chair sale,1600,0,1.03,HIGH,transactional,,office chair canada
bunk bed with desk,1600,0,0.64,HIGH,transactional,,office chair canada
metropolitan office,1600,17,,LOW,navigational,,office chair canada
writing desk,1600,0,0.85,HIGH,transactional,,office chair canada
study desk,1600,0,0.58,HIGH,transactional,informational,office chair canada
office cleaning,1600,16,7.44,LOW,informational,,office chair canada
out of office,1600,11,0.21,LOW,informational,,office chair canada
electric standing desk,1600,0,1.85,HIGH,transactional,,office chair canada
chair source,1600,0,4.54,HIGH,informational,,office chair canada
foot rest under desk,1600,0,0.71,HIGH,transactional,,office chair canada
monitor stand for desk,1600,0,1.19,HIGH,transactional,,office chair canada
secretary desk,1600,0,0.7,HIGH,transactional,,office chair canada
laptop stand for desk,1600,2,0.65,HIGH,transactional,,office chair canada
desk riser,1300,0,1.25,HIGH,transactional,,office chair canada
office chairs canadian tire,1300,0,0.67,HIGH,navigational,transactional,office chair canada
work desk,1300,0,1.31,HIGH,transactional,informational,office chair canada
office chair no wheels,1300,0,1.06,HIGH,transactional,,office chair canada
folding desk,1300,0,0.61,HIGH,transactional,,office chair canada
outlook out of office,1300,7,,LOW,informational,,office chair canada
walmart office chairs,1300,9,0.31,HIGH,transactional,,office chair canada
executive desk,1300,0,2.94,HIGH,navigational,informational,office chair canada
christie's office plus,1300,0,0.19,LOW,navigational,"informational,commercial",office chair canada
madill office,1300,0,21.84,LOW,navigational,,office chair canada
desk risers,1300,0,1.25,HIGH,transactional,,office chair canada
office cubicle,1300,0,12.02,HIGH,transactional,,office chair canada
suite office,1300,57,2.19,MEDIUM,navigational,,office chair canada
darryl office,1300,16,,LOW,navigational,,office chair canada
karen office,1300,9,,LOW,navigational,"informational,commercial",office chair canada
office decor,1300,0,0.67,HIGH,commercial,"transactional,informational",office chair canada
standing desk converter,1300,0,1.51,HIGH,transactional,,office chair canada
roll top desk,1300,0,0.54,HIGH,transactional,,office chair canada
office for men,1300,0,0.25,HIGH,informational,commercial,office chair canada
desk for sale,1300,0,1.26,HIGH,transactional,,office chair canada
office move pro,1300,5,3.63,LOW,transactional,commercial,office chair canada
standard desk height,1300,0,1.01,MEDIUM,informational,,office chair canada
office building,1000,11,3.75,LOW,informational,"navigational,commercial",office chair canada
wall mounted desk,1000,0,0.72,HIGH,transactional,,office chair canada
structube office chair,1000,0,0.55,HIGH,transactional,,office chair canada
adjustable standing desk,1000,0,2.83,HIGH,transactional,,office chair canada
mose office,1000,4,,LOW,navigational,,office chair canada
source office furniture edmonton,1000,0,1.22,MEDIUM,navigational,,office chair canada
vanity desk mirror,1000,0,0.67,HIGH,transactional,,office chair canada
vanity desk with mirror,1000,0,0.67,HIGH,transactional,,office chair canada
ergonomic desk,1000,0,2.76,HIGH,transactional,,office chair canada
bed desk,1000,0,0.43,HIGH,transactional,,office chair canada
floating desk,1000,0,0.57,HIGH,transactional,,office chair canada
the office dinner party,1000,16,,LOW,informational,,office chair canada
office chair amazon,1000,0,0.5,HIGH,transactional,,office chair canada
dinner party office,1000,9,,LOW,commercial,"informational,transactional",office chair canada
desk accessories,1000,0,0.89,HIGH,transactional,,office chair canada
td return to office,1000,3,,LOW,informational,navigational,office chair canada
desk height,1000,0,1.6,HIGH,informational,transactional,office chair canada
desk calendar,1000,0,0.64,HIGH,transactional,informational,office chair canada
ergonomic desk chair,1000,0,2.22,HIGH,transactional,,office chair canada
comfortable office chair,1000,14,1.51,HIGH,transactional,,office chair canada
desk with storage,1000,0,0.78,HIGH,transactional,,office chair canada
uplift desk,1000,17,1.68,HIGH,transactional,,office chair canada
ergocentric chairs,1000,9,1.59,HIGH,transactional,,office chair canada
dinner party the office,1000,15,,LOW,commercial,informational,office chair canada
desk foot rest,1000,0,0.71,HIGH,transactional,,office chair canada
makeup desk,1000,0,0.69,HIGH,transactional,,office chair canada
leather office chair,1000,0,2.25,HIGH,transactional,,office chair canada
small computer desk,1000,0,0.65,HIGH,transactional,,office chair canada
desk with bookshelf,1000,0,0.67,HIGH,transactional,,office chair canada
desk drawer,1000,0,1.02,HIGH,transactional,,office chair canada
sit stand desk canada,1000,0,5.5,HIGH,navigational,,office chair canada
office chair cushion,1000,0,0.7,HIGH,transactional,,office chair canada
white office chair,1000,0,1.45,HIGH,transactional,,office chair canada
office clothes men,1000,0,1.26,HIGH,transactional,"commercial,informational",office chair canada
desk for makeup,1000,0,0.69,HIGH,transactional,,office chair canada
best standing desk,880,8,5.64,HIGH,commercial,transactional,office chair canada
best buy office chairs,880,3,0.99,HIGH,transactional,,office chair canada
woodcroft strata office,880,0,7.93,LOW,navigational,,office chair canada
office trailer,880,0,11.48,MEDIUM,informational,commercial,office chair canada
meme office,880,0,,LOW,navigational,informational,office chair canada
corner desk small,880,0,0.82,HIGH,transactional,,office chair canada
home office chair,880,21,1.93,HIGH,transactional,,office chair canada
amazon desk,880,0,0.28,HIGH,navigational,transactional,office chair canada
wall desk,880,0,0.89,HIGH,transactional,,office chair canada
under desk drawer,880,0,1,HIGH,transactional,,office chair canada
black desk,880,0,1.59,HIGH,transactional,,office chair canada
office chair ergonomic,880,11,2.64,HIGH,transactional,,office chair canada
computer rack,880,0,3.39,LOW,transactional,,office chair canada
oval office desk,880,13,1.11,LOW,navigational,,office chair canada
desk light,880,0,0.59,HIGH,transactional,,office chair canada
desk legs,880,0,0.54,HIGH,transactional,,office chair canada
dual monitor desk mount,880,2,1.39,HIGH,transactional,,office chair canada
used office furniture,880,0,2.41,MEDIUM,transactional,,office chair canada
supreme office supplies,880,4,2.17,LOW,navigational,transactional,office chair canada
computer stand,880,0,0.74,HIGH,transactional,,office chair canada
best buy standing desk,880,0,0.47,HIGH,transactional,,office chair canada
l-shaped office desk,880,0,3.51,HIGH,transactional,,office chair canada
computer desk with drawers,880,0,0.91,HIGH,transactional,,office chair canada
office chair mat for carpet,880,0,0.9,HIGH,transactional,,office chair canada
office interiors,880,21,7.83,MEDIUM,informational,commercial,office chair canada
chaise de bureau costco,880,0,0.91,HIGH,transactional,,office chair canada
best office chairs canada,880,30,3.73,HIGH,commercial,,office chair canada
office decor ideas,880,8,0.72,HIGH,informational,,office chair canada
under desk bike,880,0,0.34,HIGH,transactional,,office chair canada
study chair,880,7,0.47,HIGH,transactional,,office chair canada
costco chaise de bureau,880,0,0.91,HIGH,transactional,,office chair canada
resolute desk,880,14,1.11,LOW,transactional,,office chair canada
computer desk canada,880,0,1.97,HIGH,navigational,,office chair canada
best office,880,3,2.86,MEDIUM,navigational,"informational,commercial",office chair canada
progressive desk,880,0,3.27,HIGH,transactional,,office chair canada
source office furniture calgary,880,0,1.26,MEDIUM,navigational,,office chair canada
amazon standing desk,880,0,0.57,HIGH,transactional,,office chair canada
office setup,720,25,1.96,HIGH,commercial,"transactional,informational",office chair canada
electric desk,720,0,1.15,HIGH,transactional,,office chair canada
standing desk with drawers,720,1,2.03,HIGH,transactional,,office chair canada
lumbar support for office chair,720,0,0.94,HIGH,transactional,,office chair canada
desk table,720,0,0.89,HIGH,transactional,,office chair canada
cheap office chairs,720,1,0.93,HIGH,transactional,,office chair canada
comfy office chair,720,7,0.9,HIGH,transactional,,office chair canada
drawing desk,720,0,0.59,HIGH,transactional,informational,office chair canada
white desk with drawers,720,0,1,HIGH,transactional,,office chair canada
office work,720,14,1.44,LOW,informational,,office chair canada
l shaped standing desk,720,0,3.27,HIGH,transactional,,office chair canada
coffee table,49500,0,0.93,HIGH,transactional,,conference table
series a italy table,33100,49,,LOW,informational,,conference table
dining table,27100,0,1.2,HIGH,transactional,,conference table
table,27100,7,0.66,HIGH,transactional,informational,conference table
console table,22200,0,0.82,HIGH,transactional,,conference table
dining chairs,22200,0,1.6,HIGH,transactional,,conference table
table rock centre,22200,3,0.44,LOW,transactional,navigational,conference table
pool table,22200,0,0.61,HIGH,transactional,,conference table
side table,14800,0,0.75,HIGH,transactional,,conference table
folding table,14800,0,0.46,HIGH,transactional,,conference table
table 51,14800,0,0.89,LOW,informational,navigational,conference table
transformer table,14800,3,0.79,HIGH,transactional,,conference table
table lamps,12100,0,0.62,HIGH,transactional,,conference table
dining table set,12100,0,0.77,HIGH,transactional,,conference table
man u table,12100,14,,LOW,transactional,navigational,conference table
man united table,12100,14,,LOW,navigational,informational,conference table
fire table,9900,0,0.66,HIGH,transactional,,conference table
bedside table,9900,0,0.89,HIGH,transactional,,conference table
normal table,9900,8,,LOW,informational,,conference table
round coffee table,9900,0,0.88,HIGH,transactional,,conference table
extendable dining table,8100,0,1.21,HIGH,transactional,,conference table
arsenal table,8100,25,,LOW,transactional,,conference table
ping pong table,8100,0,0.57,HIGH,transactional,,conference table
mtl a table,8100,0,1.01,LOW,transactional,,conference table
picnic table,8100,0,1.55,HIGH,transactional,,conference table
table rock,8100,19,0.14,LOW,transactional,,conference table
round dining table,8100,0,1.15,HIGH,transactional,,conference table
table de salon,8100,0,0.6,HIGH,transactional,,conference table
table mountain,8100,9,0.84,LOW,transactional,"navigational,informational",conference table
arsenal/table,8100,25,,LOW,transactional,"informational,navigational",conference table
table de cuisine,6600,0,0.72,HIGH,transactional,,conference table
foosball table,6600,0,0.58,HIGH,transactional,,conference table
kitchen table,6600,0,0.93,HIGH,transactional,,conference table
table top cafe,6600,3,0.19,LOW,navigational,transactional,conference table
table runner,6600,0,0.76,HIGH,transactional,,conference table
end tables,6600,0,0.82,HIGH,transactional,,conference table
foldable table,6600,0,0.42,HIGH,transactional,,conference table
lego table,5400,0,0.41,HIGH,transactional,,conference table
entryway table,5400,0,0.77,HIGH,transactional,,conference table
air hockey table,5400,0,0.42,HIGH,transactional,,conference table
round table,5400,0,0.93,HIGH,transactional,,conference table
knights table,5400,6,0.6,LOW,transactional,,conference table
sofa table,5400,0,0.69,HIGH,transactional,,conference table
lift top coffee table,5400,0,0.98,HIGH,transactional,,conference table
table nineteen whistler,4400,0,0.35,LOW,navigational,transactional,conference table
router table,4400,0,0.42,HIGH,transactional,,conference table
table setting,4400,6,0.46,HIGH,transactional,informational,conference table
vanity table,4400,0,0.6,HIGH,transactional,,conference table
poker table,4400,0,0.61,HIGH,transactional,,conference table
gaming table,4400,0,0.76,HIGH,transactional,,conference table
wood coffee table,4400,0,1.01,HIGH,transactional,,conference table
changing table,4400,0,0.8,HIGH,transactional,,conference table
bar table,4400,0,1.03,HIGH,transactional,,conference table
propane fire table,4400,5,0.57,HIGH,transactional,,conference table
folding table canadian tire,4400,0,0.8,HIGH,transactional,,conference table
coffee table with storage,4400,0,0.82,HIGH,transactional,,conference table
dining room table,4400,0,1.29,HIGH,transactional,,conference table
puzzle table,4400,0,0.54,HIGH,transactional,,conference table
tv table,4400,0,0.55,HIGH,transactional,,conference table
patio table,4400,0,0.63,HIGH,transactional,,conference table
kids table and chairs,4400,0,0.44,HIGH,transactional,,conference table
coffee tables canada,3600,0,1.26,HIGH,commercial,transactional,conference table
structube dining table,3600,0,0.33,HIGH,transactional,,conference table
kitchen table and chairs,3600,0,0.87,HIGH,transactional,,conference table
study table,3600,0,0.35,HIGH,transactional,informational,conference table
table legs,3600,0,0.63,HIGH,transactional,,conference table
chef's table,3600,38,1.08,LOW,informational,transactional,conference table
massage table,3600,0,0.94,HIGH,transactional,,conference table
dressing table,3600,0,0.55,HIGH,transactional,,conference table
12 tables,3600,14,0.26,LOW,transactional,,conference table
the kitchen table,3600,2,1.18,LOW,informational,transactional,conference table
side table for living room,3600,0,0.8,HIGH,transactional,,conference table
night table,3600,0,0.84,HIGH,transactional,,conference table
structube coffee table,3600,0,0.34,HIGH,transactional,,conference table
table a langer,3600,0,0.69,HIGH,transactional,,conference table
marble coffee table,3600,0,1.58,HIGH,transactional,,conference table
outdoor table,3600,0,0.79,HIGH,transactional,,conference table
patio table and chairs,2900,2,0.67,HIGH,transactional,,conference table
oval dining table,2900,0,1.65,HIGH,transactional,,conference table
structube dining chairs,2900,0,0.47,HIGH,transactional,,conference table
behind couch table,2900,0,0.53,HIGH,transactional,,conference table
bar chairs,2900,0,1.13,HIGH,transactional,,conference table
table a manger,2900,0,0.8,HIGH,transactional,,conference table
glass coffee table,2900,0,0.82,HIGH,transactional,,conference table
vancouver table,2900,0,4.01,LOW,informational,"navigational,transactional",conference table
table d'appoint salon,2900,0,0.64,HIGH,transactional,,conference table
dining table and chairs,2900,0,0.84,HIGH,transactional,,conference table
folding step stool,2900,0,0.47,HIGH,transactional,,conference table
wooden table,2900,0,0.91,HIGH,transactional,,conference table
extendable round dining table,2900,0,1.12,HIGH,transactional,,conference table
snooker table,2900,0,1.28,MEDIUM,transactional,,conference table
nesting tables,2900,0,0.81,HIGH,transactional,informational,conference table
small table,2900,0,0.46,HIGH,transactional,,conference table
table salon,2900,0,0.66,HIGH,commercial,"transactional,navigational",conference table
enchanting table,2900,14,0.02,LOW,transactional,,conference table
breakfast table,2900,0,0.91,HIGH,transactional,,conference table
camping table,2900,0,0.34,HIGH,transactional,,conference table
table top,2900,0,0.63,HIGH,transactional,,conference table
open tables,2900,30,0.91,LOW,informational,commercial,conference table
small coffee table,2900,0,0.82,HIGH,transactional,,conference table
computer table,2400,0,0.57,HIGH,transactional,,conference table
wooden dining table,2400,0,1.06,HIGH,transactional,,conference table
round wood coffee table,2400,0,1.18,HIGH,transactional,,conference table
table and chairs,2400,0,0.71,HIGH,transactional,,conference table
folding stool,2400,0,0.32,HIGH,transactional,,conference table
small dining table,2400,0,0.73,HIGH,transactional,,conference table
changing table dresser,2400,0,0.76,HIGH,transactional,,conference table
modern coffee table,2400,0,1.39,HIGH,transactional,,conference table
small folding table,2400,0,0.43,HIGH,transactional,,conference table
walmart folding table,2400,0,0.14,HIGH,transactional,,conference table
console table for entryway,2400,0,0.99,HIGH,transactional,,conference table
chi square table,2400,16,,LOW,transactional,informational,conference table
outdoor side table,2400,0,0.77,HIGH,transactional,,conference table
ottoman coffee table,2400,0,0.83,HIGH,transactional,,conference table
folding camping table,2400,0,0.37,HIGH,transactional,,conference table
jill's table,2400,14,0.44,LOW,navigational,,conference table
brew table,2400,0,0.55,LOW,transactional,,conference table
console table entryway,2400,0,0.99,HIGH,transactional,navigational,conference table
dining table set for 6,2400,0,0.7,HIGH,transactional,,conference table
outdoor coffee table,2400,0,1.21,HIGH,transactional,,conference table
end tables for living room,2400,0,0.88,HIGH,transactional,,conference table
table basse salon,2400,0,0.76,HIGH,transactional,,conference table
kids table,2400,0,0.47,HIGH,transactional,,conference table
harvest table,2400,0,0.77,HIGH,transactional,,conference table
dining table set for 4,1900,0,0.6,HIGH,transactional,,conference table
crafting table,1900,12,0.6,HIGH,transactional,,conference table
the table,1900,20,0.02,LOW,informational,,conference table
buffet table,1900,0,0.74,HIGH,transactional,,conference table
oblong coffee table,1900,0,1.06,HIGH,transactional,,conference table
pool table for sale,1900,0,0.78,HIGH,transactional,,conference table
table cuisine,1900,0,0.69,HIGH,transactional,informational,conference table
three times tables,1900,14,0.09,MEDIUM,informational,,conference table
wayfair coffee table,1900,0,0.86,HIGH,transactional,,conference table
bistro table,1900,0,1.26,HIGH,transactional,,conference table
4 times table,1900,0,0.07,MEDIUM,transactional,informational,conference table
drafting table,1900,0,0.78,HIGH,informational,transactional,conference table
square coffee table,1900,0,1.02,HIGH,transactional,,conference table
small side table,1900,0,0.62,HIGH,transactional,,conference table
marble dining table,1900,0,1.51,HIGH,transactional,,conference table
black coffee table,1900,0,1.25,HIGH,transactional,,conference table
narrow console table,1900,0,0.76,HIGH,transactional,,conference table
table fan,1900,0,0.31,HIGH,transactional,,conference table
bed table,1900,0,0.43,HIGH,transactional,,conference table
console table narrow,1900,0,0.76,HIGH,transactional,,conference table
outdoor dining table,1900,0,1.07,HIGH,transactional,,conference table
folding picnic table,1900,0,1.18,HIGH,transactional,,conference table
dining table with bench,1900,0,0.81,HIGH,transactional,,conference table
shuffleboard table,1900,0,0.46,HIGH,transactional,,conference table
table cream,1900,0,0.19,HIGH,transactional,informational,conference table
foldable dining table,1900,0,0.55,HIGH,transactional,,conference table
and truth table,1900,8,0.21,LOW,informational,,conference table
fire pit table,1900,0,0.64,HIGH,transactional,,conference table
living room table,1900,0,0.88,HIGH,transactional,,conference table
dining chairs set of 4,1900,0,0.88,HIGH,transactional,,conference table
accent table,1900,0,0.77,HIGH,transactional,,conference table
outdoor table and chairs,1900,0,0.84,HIGH,transactional,,conference table
nesting coffee tables,1900,0,1.08,HIGH,transactional,,conference table
bakers table,1900,7,3.82,LOW,transactional,,conference table
laptop table,1900,0,0.44,HIGH,transactional,,conference table
card table,1900,0,0.48,HIGH,transactional,,conference table
how to make enchanting table,1900,9,0.02,LOW,informational,,conference table
small kitchen table,1900,0,0.65,HIGH,transactional,,conference table
round dining table for 4,1900,0,0.91,HIGH,transactional,,conference table
hallway table,1900,0,0.72,HIGH,transactional,,conference table
oval coffee table,1900,0,1.06,HIGH,transactional,,conference table
coffee table decor,1900,0,0.59,HIGH,commercial,transactional,conference table
console table with storage,1900,0,0.77,HIGH,transactional,,conference table
stainless steel table,1600,0,3.31,HIGH,transactional,,conference table
live edge dining table,1600,0,0.75,HIGH,transactional,,conference table
plastic folding table,1600,0,0.74,HIGH,transactional,,conference table
deck chairs,1600,0,0.66,HIGH,transactional,,conference table
grazing table,1600,0,1.15,LOW,transactional,,conference table
board game table,1600,0,0.6,HIGH,transactional,,conference table
table patio,1600,0,0.54,HIGH,transactional,,conference table
solid wood dining table,1600,0,1.4,HIGH,transactional,,conference table
costco dining table,1600,0,0.61,HIGH,transactional,,conference table
dining chairs set of 6,1600,0,0.97,HIGH,transactional,,conference table
makeup table,1600,0,0.66,HIGH,transactional,,conference table
wood side table,1600,0,0.97,HIGH,transactional,,conference table
spl table,1600,33,,LOW,informational,transactional,conference table
table definition,1600,29,,LOW,informational,,conference table
sewing table,1600,0,0.54,HIGH,transactional,,conference table
welding table,1600,0,1.03,HIGH,transactional,,conference table
enchanting table setup,1600,5,0.02,LOW,transactional,,conference table
glass dining table,1600,0,0.91,HIGH,transactional,,conference table
foldable outdoor table,1600,0,0.56,HIGH,transactional,,conference table
the brick coffee tables,1600,0,0.46,HIGH,transactional,,conference table
work table,1600,0,1.49,HIGH,transactional,,conference table
how to set a table,1600,12,0.08,MEDIUM,informational,,conference table
kitchen island table,1600,0,0.58,HIGH,transactional,,conference table
round ottoman,1600,0,0.83,HIGH,transactional,,conference table
live edge table,1600,0,0.64,HIGH,transactional,,conference table
round coffee table with storage,1600,0,0.98,HIGH,transactional,,conference table
ligue a table,1600,31,,LOW,transactional,,conference table
side table for bedroom,1600,0,0.62,HIGH,transactional,,conference table
the grateful table,1600,3,,LOW,informational,navigational,conference table
round kitchen table,1600,0,1.05,HIGH,transactional,,conference table
grateful table,1600,5,,LOW,transactional,,conference table
counter height table,1600,0,1.1,HIGH,transactional,,conference table
round side table,1600,0,0.86,HIGH,transactional,,conference table
office,110000,98,0.79,LOW,informational,,office pod
office chair,33100,16,1.68,HIGH,transactional,,office pod
office space,18100,23,8.03,LOW,commercial,informational,office pod
office desk,9900,0,3.16,HIGH,transactional,,office pod
ergonomic office chair,9900,2,2.01,HIGH,transactional,,office pod
the office movers,8100,6,,LOW,commercial,,office pod
open office,8100,70,0.78,LOW,informational,navigational,office pod
work from home,8100,0,2.51,MEDIUM,informational,,office pod
the office moving,8100,5,,LOW,navigational,"informational,commercial",office pod
staples office chairs,6600,0,0.91,HIGH,transactional,,office pod
office furniture,5400,3,15.72,HIGH,transactional,commercial,office pod
best office chairs,4400,17,3.77,HIGH,commercial,transactional,office pod
erin office,4400,17,,LOW,navigational,,office pod
source office furniture,4400,13,1.1,HIGH,navigational,,office pod
office pools guest,4400,15,0.03,LOW,navigational,,office pod
office customization tool,3600,15,3.95,LOW,informational,"commercial,navigational",office pod
monk office,3600,9,4.5,LOW,informational,navigational,office pod
return to office,2900,0,,LOW,informational,,office pod
the office grind,2900,0,0.05,LOW,informational,,office pod
home office desk,2900,0,2.04,HIGH,transactional,,office pod
office chairs canada,2900,0,3.01,HIGH,navigational,"commercial,transactional",office pod
toby office,2900,13,,LOW,navigational,,office pod
creed bratton office,2900,11,,LOW,navigational,,office pod
break room,2400,10,0.5,LOW,informational,"navigational,transactional",office pod
standing desk canada,2400,0,5.66,HIGH,commercial,"navigational,transactional",office pod
lazyboy office chair,2400,0,1.5,HIGH,transactional,,office pod
standing desks canada,2400,0,5.66,HIGH,commercial,"navigational,transactional",office pod
the brick corporate office,2400,0,1.08,LOW,navigational,,office pod
home office ideas,1900,23,0.86,HIGH,informational,,office pod
office unicity,1900,0,,LOW,navigational,,office pod
home office,1900,50,1.53,HIGH,informational,,office pod
office table,1900,0,1.87,HIGH,transactional,,office pod
denis office supplies,1900,0,5.32,LOW,navigational,,office pod
office chair mat,1900,0,1.15,HIGH,transactional,,office pod
gabe office,1900,12,,LOW,navigational,,office pod
herman miller office chair,1900,6,1.78,HIGH,transactional,,office pod
best ergonomic office chair,1600,14,3.97,HIGH,commercial,transactional,office pod
office background,1600,0,0.17,LOW,informational,commercial,office pod
heritage office furnishings,1600,8,12.49,LOW,navigational,,office pod
meeting room,1600,11,8.71,LOW,informational,navigational,office pod
meredith office,1600,22,,LOW,navigational,,office pod
office chair sale,1600,0,1.03,HIGH,transactional,,office pod
metropolitan office,1600,17,,LOW,navigational,,office pod
office cleaning,1600,16,7.44,LOW,informational,,office pod
out of office,1600,11,0.21,LOW,informational,,office pod
office chairs canadian tire,1300,0,0.67,HIGH,navigational,transactional,office pod
office chair no wheels,1300,0,1.06,HIGH,transactional,,office pod
outlook out of office,1300,7,,LOW,informational,,office pod
trade show booth,1300,0,18.89,HIGH,transactional,commercial,office pod
walmart office chairs,1300,9,0.31,HIGH,transactional,,office pod
christie's office plus,1300,0,0.19,LOW,navigational,"informational,commercial",office pod
madill office,1300,0,21.84,LOW,navigational,,office pod
office cubicle,1300,0,12.02,HIGH,transactional,,office pod
suite office,1300,57,2.19,MEDIUM,navigational,,office pod
darryl office,1300,16,,LOW,navigational,,office pod
karen office,1300,9,,LOW,navigational,"informational,commercial",office pod
office decor,1300,0,0.67,HIGH,commercial,"transactional,informational",office pod
office for men,1300,0,0.25,HIGH,informational,commercial,office pod
desk for sale,1300,0,1.26,HIGH,transactional,,office pod
office move pro,1300,5,3.63,LOW,transactional,commercial,office pod
office building,1000,11,3.75,LOW,informational,"navigational,commercial",office pod
structube office chair,1000,0,0.55,HIGH,transactional,,office pod
mose office,1000,4,,LOW,navigational,,office pod
source office furniture edmonton,1000,0,1.22,MEDIUM,navigational,,office pod
the office dinner party,1000,16,,LOW,informational,,office pod
office chair amazon,1000,0,0.5,HIGH,transactional,,office pod
dinner party office,1000,9,,LOW,commercial,"informational,transactional",office pod
conference room,1000,8,5.51,LOW,navigational,,office pod
td return to office,1000,3,,LOW,informational,navigational,office pod
comfortable office chair,1000,14,1.51,HIGH,transactional,,office pod
dinner party the office,1000,15,,LOW,commercial,informational,office pod
leather office chair,1000,0,2.25,HIGH,transactional,,office pod
sit stand desk canada,1000,0,5.5,HIGH,navigational,,office pod
office chair cushion,1000,0,0.7,HIGH,transactional,,office pod
white office chair,1000,0,1.45,HIGH,transactional,,office pod
office clothes men,1000,0,1.26,HIGH,transactional,"commercial,informational",office pod
best buy office chairs,880,3,0.99,HIGH,transactional,,office pod
woodcroft strata office,880,0,7.93,LOW,navigational,,office pod
office trailer,880,0,11.48,MEDIUM,informational,commercial,office pod
meme office,880,0,,LOW,navigational,informational,office pod
home office chair,880,21,1.93,HIGH,transactional,,office pod
indeed work from home,880,0,2.23,LOW,informational,,office pod
office chair ergonomic,880,11,2.64,HIGH,transactional,,office pod
oval office desk,880,13,1.11,LOW,navigational,,office pod
used office furniture,880,0,2.41,MEDIUM,transactional,,office pod
supreme office supplies,880,4,2.17,LOW,navigational,transactional,office pod
staff room,880,0,,LOW,navigational,"transactional,informational",office pod
l-shaped office desk,880,0,3.51,HIGH,transactional,,office pod
office chair mat for carpet,880,0,0.9,HIGH,transactional,,office pod
office interiors,880,21,7.83,MEDIUM,informational,commercial,office pod
best office chairs canada,880,30,3.73,HIGH,commercial,,office pod
office decor ideas,880,8,0.72,HIGH,informational,,office pod
server room,880,17,2.91,LOW,commercial,"informational,navigational",office pod
computer desk canada,880,0,1.97,HIGH,navigational,,office pod
best office,880,3,2.86,MEDIUM,navigational,"informational,commercial",office pod
source office furniture calgary,880,0,1.26,MEDIUM,navigational,,office pod
office setup,720,25,1.96,HIGH,commercial,"transactional,informational",office pod
lumbar support for office chair,720,0,0.94,HIGH,transactional,,office pod
cheap office chairs,720,1,0.93,HIGH,transactional,,office pod
comfy office chair,720,7,0.9,HIGH,transactional,,office pod
office work,720,14,1.44,LOW,informational,,office pod
intelligent office,720,12,2.82,LOW,navigational,informational,office pod
office pods,720,1,10.03,HIGH,transactional,,office pod
home office design,720,27,1.33,HIGH,informational,commercial,office pod
mesh office chair,720,0,2.4,HIGH,transactional,,office pod
pink office chair,720,0,0.9,HIGH,transactional,,office pod
office cabinet,720,0,3.17,HIGH,transactional,,office pod
the office lego set,720,0,0.22,HIGH,transactional,,office pod
reclining office chair,720,0,1.16,HIGH,transactional,,office pod
t2200 work from home,720,7,2.6,LOW,informational,,office pod
office chairs calgary,720,0,2.4,HIGH,navigational,,office pod
co-op office,720,51,2.37,LOW,navigational,,office pod
office chair with footrest,720,0,1.24,HIGH,transactional,,office pod
office party,720,32,,LOW,informational,,office pod
used office furniture calgary,720,0,1.04,HIGH,commercial,transactional,office pod
massage office chair,720,0,1.38,HIGH,transactional,,office pod
office desk canada,720,0,5.43,HIGH,navigational,commercial,office pod
office chair wheels,720,0,0.84,HIGH,transactional,,office pod
small office desk,720,0,1.16,HIGH,transactional,,office pod
office suite,720,46,1.74,MEDIUM,transactional,"informational,navigational",office pod
small office home office definition,720,1,,LOW,informational,,office pod
computer chairs on sale,720,0,0.61,HIGH,transactional,,office pod
office furniture calgary,720,0,4.49,HIGH,navigational,,office pod
most comfortable office chair,590,19,1.77,HIGH,informational,commercial,office pod
office plants,590,3,1.1,HIGH,transactional,commercial,office pod
steelcase office chair,590,4,2.7,HIGH,transactional,,office pod
trellis main office,590,13,,LOW,navigational,,office pod
wayfair office chair,590,0,1.78,HIGH,transactional,navigational,office pod
mobile office,590,0,9.46,MEDIUM,transactional,,office pod
office chairs edmonton,590,0,2.03,HIGH,navigational,"commercial,transactional",office pod
office desk with drawers,590,0,2.34,HIGH,transactional,,office pod
office chairs toronto,590,0,4.6,HIGH,navigational,commercial,office pod
used office chairs,590,0,2.1,HIGH,transactional,,office pod
office moving,590,0,5.04,LOW,commercial,,office pod
home office furniture,590,0,2.15,HIGH,transactional,"navigational,commercial",office pod
office furniture stores,590,1,5.26,LOW,commercial,,office pod
office storage,590,0,1.85,HIGH,transactional,commercial,office pod
office chair cover,590,0,0.42,HIGH,transactional,,office pod
scentsy canada workstation,590,21,3.27,LOW,navigational,,office pod
office drawers,590,0,1.21,HIGH,transactional,,office pod
atwork office furniture,590,0,2.26,HIGH,navigational,,office pod
office couch,590,0,3.29,HIGH,transactional,,office pod
best budget office chair,590,24,1.82,HIGH,commercial,transactional,office pod
