rank,product_id,handle,title,vendor,price_max,confidence,score,tier,recommended_subs,recommended_brand,detected_line,detected_model,tier_a_enriched,inventory_status,reason
320,9667825598777,gas-lift-monitor-riser,Gas lift monitor riser,Brant Business Interiors,434.33,low,-1,D-SKIP,desk-top-dividers | monitor-arms | training-flip-top-tables,Brant Business Interiors,,,N,sold-out,+3 price>=200; +1 metafields present; -5 parts/accessory
321,9698778710329,power-station-with-3-outlets-and-2-usb,Power station with 3 outlets and 2 USB,Brant Business Interiors,425.0,med,-1,D-SKIP,meeting-tables | desks | gfg-desks,Brant Business Interiors,,,N,sold-out,+3 price>=200; +1 metafields present; -5 parts/accessory
322,10102505341241,coat-tree,Coat tree,Brant Business Interiors,186.0,none,-1,D-SKIP,,Brant Business Interiors,,,N,sold-out,+1 metafields present; -3 thin body + generic title; +1 no claude_confidence (needs manual research)
323,9960567046457,keys-2-set,Keys 2/set,Brant Business Interiors,25.0,none,-1,D-SKIP,global-teknion | gfg-desks | fire-resistant-file-cabinets,Brant Business Interiors,,,N,sold-out,+1 metafields present; -3 thin body + generic title; +1 no claude_confidence (needs manual research)
324,9766928220473,hardfloor-casters,Hardfloor casters,Brant Business Interiors,39.99,low,-2,D-SKIP,accessories | otg-accessories | chairmat-accessories,Brant Business Interiors,,,N,in-stock-13,+1 metafields present; -3 thin body + generic title
325,9748327694649,teknion-ac-boardroom,"Teknion ""ac boardroom""",Teknion,0.0,med,-2,D-SKIP,boardroom | global-teknion,Teknion,,,N,quote-only-$0,+5 premium-brand vendor; +1 metafields present; -3 thin body + generic title; -5 quote-only $0
326,10046412554553,solid-steel-shelving-starter-set,"Solid steel shelving, starter set",Brant Business Interiors,0.0,none,-3,D-SKIP,gfg-storage | heartwood-storage | otg-storage,Brant Business Interiors,,,N,quote-only-$0,+1 metafields present; +1 no claude_confidence (needs manual research); -5 quote-only $0
327,9683498795321,sonoma,Sonoma,Brant Business Interiors,0.0,none,-3,D-SKIP,room-training-room | fire-resistant-file-cabinets | furniture,Brant Business Interiors,,,N,quote-only-$0,+1 metafields present; +1 no claude_confidence (needs manual research); -5 quote-only $0
328,9723863007545,desk-power-grommet,Desk power grommet,Brant Business Interiors,150.99,med,-4,D-SKIP,desks | room-private-office | bar-height-tables,Brant Business Interiors,,,N,sold-out,+1 metafields present; -5 parts/accessory
329,9723832435001,led-desk-lamp-with-usb-and-night-light,LED desk lamp with USB and night light,Brant Business Interiors,139.59,med,-4,D-SKIP,desks,Brant Business Interiors,,,N,sold-out,+1 metafields present; -5 parts/accessory
330,10029504528697,cord-cover,Cord cover snake,Brant Business Interiors,99.99,med,-4,D-SKIP,height-adjustable-tables | air-quality-management,Brant Business Interiors,,,N,sold-out,+1 metafields present; -5 parts/accessory
331,9699892035897,canopy-seating,Canopy seating,Brant Business Interiors,0.0,med,-4,D-SKIP,seating | gfg-chairs | obusforme-chairs,Brant Business Interiors,,,N,quote-only-$0,+1 metafields present; -5 quote-only $0
332,10008720867641,custom-reception-unit-accessories,Custom reception unit & accessories,Brant Business Interiors,0.0,med,-4,D-SKIP,accessories | otg-accessories | chairmat-accessories,Brant Business Interiors,,,N,quote-only-$0,+1 metafields present; -5 quote-only $0
333,9683089654073,pod-phone-booths,Pod phone booths,Brant Business Interiors,0.0,low,-4,D-SKIP,room-open-plan | oecm-eligible | desk-top-sit-stand-ergonomic-products,Brant Business Interiors,,,N,quote-only-$0,+1 metafields present; -5 quote-only $0
334,9683645563193,ryno-patio-furniture-waterproof-polyethylene,Ryno patio furniture waterproof polyethylene,Brant Business Interiors,0.0,med,-4,D-SKIP,furniture | desk-top-dividers | fire-resistant-file-cabinets,Brant Business Interiors,,,N,quote-only-$0,+1 metafields present; -5 quote-only $0
335,9747771719993,the-corby-collection,The corby collection,Brant Business Interiors,0.0,low,-4,D-SKIP,height-adjustable-tables-desks | desks | gfg-desks,Brant Business Interiors,,,N,quote-only-$0,+1 metafields present; -5 quote-only $0
336,10085789335865,grommet-hole-cover,Grommet hole & cover,Brant Business Interiors,175.0,none,-5,D-SKIP,,Brant Business Interiors,,,N,sold-out,+1 metafields present; +1 multi-option variants; -3 thin body + generic title; -5 parts/accessory; +1 no claude_confidence (needs manual research)
337,9682812207417,boulevard-system-3,Boulevard system 3,Brant Business Interiors,0.0,none,-6,D-SKIP,,Brant Business Interiors,,,N,quote-only-$0,+1 metafields present; -3 thin body + generic title; +1 no claude_confidence (needs manual research); -5 quote-only $0
338,9682813813049,diet,Diet,Brant Business Interiors,0.0,none,-6,D-SKIP,,Brant Business Interiors,,,N,quote-only-$0,+1 metafields present; -3 thin body + generic title; +1 no claude_confidence (needs manual research); -5 quote-only $0
