rank,product_id,handle,title,vendor,price_max,confidence,score,tier,recommended_subs,detected_line,detected_model,reason
274,9667777626425,stacking-chair-popcorn-6711,Stacking chair popcorn — 6711,Brant Business Interiors,159.99,med,2,C-MAYBE,chairs | folding-stacking-chairs-carts | monitor-arms,,6711,+2 model:6711
275,9722804863289,storage-wardrobe-unit,Storage wardrobe unit,Brant Business Interiors,1249.99,med,2,C-MAYBE,storage | wardrobe-storage | all-storage,,,+5 price>=500; -3 thin context
276,9748327694649,teknion-ac-boardroom,"Teknion ""ac boardroom""",Teknion,0.00,med,2,C-MAYBE,boardroom | global-teknion | all-boardroom,,,+5 premium-brand vendor; -3 thin context
277,10043552071993,sonic-armchair-polypropylene-seat-back-6513,"Sonic armchair, polypropylene seat & back (6513) — 6513",Brant Business Interiors,199.99,low,2,C-MAYBE,guest-seating | lecture-hall-seating | medium-back-seating,,6513,+2 model:6513
278,10102429090105,corner-maker-12,Corner maker — 12,Brant Business Interiors,175.99,none,1,C-MAYBE,height-adjustable-tables | keyboard-trays,,,+1 routing unknown
279,9682813813049,diet,Diet,Brant Business Interiors,0.00,none,1,C-MAYBE,,,,+1 routing unknown
280,9666436006201,easy-pull-in-out-keyboard-tray,Easy pull in & out keyboard tray,Brant Business Interiors,145.99,none,1,C-MAYBE,keyboard-trays,,,+1 routing unknown
281,9828101783865,ganging-plates-for-terina-tables-gfcngfp,Ganging plates for terina tables gfcngfp,Brant Business Interiors,25.00,none,1,C-MAYBE,all-tables | gfg-tables | heartwood-tables,,,+1 routing unknown
282,9795588981049,hutch-5-sizes,Hutch — 5 sizes,Brant Business Interiors,499.99,none,1,C-MAYBE,laminate-bookcases,,,+3 price>=200; -3 thin context; +1 routing unknown
283,9842388468025,power-plant-500222pp90-daisychaining,Power plant 500222PP90 daisychaining,Brant Business Interiors,149.99,none,1,C-MAYBE,all-desks | desks | gfg-desks,,,+1 routing unknown
284,9676931498297,recycled-plastic-picnic-tables,Recycled plastic picnic tables,Brant Business Interiors,2655.00,none,1,C-MAYBE,all-tables | gfg-tables | heartwood-tables,,,+5 price>=500; -5 parts/accessory; +1 routing unknown
285,9754654933305,shoptech-082,Shoptech — 082,Brant Business Interiors,345.00,none,1,C-MAYBE,big-heavy-seating | medium-back-seating,,082,+3 price>=200; +2 model:082; -5 parts/accessory; +1 routing unknown
286,10046412554553,solid-steel-shelving-starter-set,"Solid steel shelving, starter set",Brant Business Interiors,0.00,none,1,C-MAYBE,acoustic-solutions | all-storage | gfg-storage,,,+1 routing unknown
287,9723869462841,sphere-power,Sphere power,Brant Business Interiors,150.00,none,1,C-MAYBE,power-modules-accessories,,,+1 routing unknown
288,9832764408121,hardware-for-ceiling-tiles,Hardware for ceiling tiles,Brant Business Interiors,99.99,high,0,D-SKIP,acoustic-panels | panels-room-dividers | room-dividers-panels-dividers,,,
289,9788567388473,mobile-pedestal-digital-lock,Mobile pedestal & digital lock,Brant Business Interiors,599.99,high,0,D-SKIP,pedestals | storage | mobile-pedestals,,,+5 price>=500; -5 parts/accessory
290,9676929270073,banquet-chair-stacking,Banquet chair stacking,Brant Business Interiors,119.99,med,0,D-SKIP,chairs | folding-stacking-chairs-carts | medium-back-seating,,,
291,9699892035897,canopy-seating,Canopy seating,Brant Business Interiors,0.00,med,0,D-SKIP,seating | acoustic-panels | all-business-furniture,,,
292,10029504528697,cord-cover,Cord cover snake,Brant Business Interiors,99.99,med,0,D-SKIP,height-adjustable-tables | air-quality-management,,,
293,10008720867641,custom-reception-unit-accessories,Custom reception unit & accessories,Brant Business Interiors,0.00,med,0,D-SKIP,type-accessories | accessories | all-accessories,,,
294,9723863007545,desk-power-grommet,Desk power grommet,Brant Business Interiors,150.99,med,0,D-SKIP,desks | ergonomic-products | all-ergonomic,,,
295,9884899213625,desk-shells,Desk shells,Brant Business Interiors,499.99,med,0,D-SKIP,desks,,,+3 price>=200; -3 thin context
296,9098388799801,door-32-x-32-1,"Door — 32"" x 32""",Brant Business Interiors,179.99,med,0,D-SKIP,bookcases | office-furniture | all-business-furniture,,,
297,9665634435385,ionic-feet-1-pair,Ionic feet (1 pair),Brant Business Interiors,149.99,med,0,D-SKIP,acoustic-panels | otg-panels | all-panels,,,
298,9723832435001,led-desk-lamp-with-usb-and-night-light,LED desk lamp with USB and night light,Brant Business Interiors,139.59,med,0,D-SKIP,desks,,,
299,9723830337849,led-desk-lamp-with-wireless-charger-led,LED desk lamp with wireless charger - LED,Brant Business Interiors,134.20,med,0,D-SKIP,desks,,,
300,9788589900089,lateral-file-wood-laminate-2-3-4-drawer-options,"Lateral file wood laminate (2, 3 & 4 drawer options) — 4 drawer",Brant Business Interiors,1299.69,med,0,D-SKIP,lateral-file-cabinets-storage | fire-resistant-file-cabinets | laminate-bookcases,,,+5 price>=500; -5 parts/accessory
301,9851749335353,monitor-arms,Monitor arms,Brant Business Interiors,199.99,med,0,D-SKIP,monitor-arms | ergonomic-products | all-ergonomic,,,
302,9693105062201,privacy-desk-top-dividers,Privacy desk top dividers,Brant Business Interiors,185.00,med,0,D-SKIP,desk-top-dividers | privacy-screens | all-panels,,,
303,9683645563193,ryno-patio-furniture-waterproof-polyethylene,Ryno patio furniture waterproof polyethylene,Brant Business Interiors,0.00,med,0,D-SKIP,furniture | all-business-furniture | business-furniture,,,
304,9693091889465,stream-armless-chair-polypropylene-seat-back-2075app,"Stream armless chair, polypropylene seat & back — 2075APP",Brant Business Interiors,299.99,med,0,D-SKIP,chairs | task-chairs | lounge-chairs-seating,,2075APP,+3 price>=200; +2 model:2075APP; -5 parts/accessory
305,9103184265529,coat-tree-hook-stand-1,Coat tree hook stand,Brant Business Interiors,179.99,low,0,D-SKIP,desk-top-sit-stand-ergonomic-products | all-ergonomic | ergonomic-products,,,
306,9720592138553,factor-mesh-back-armchair-casters-5545amc-1,"Factor mesh back armchair, casters (5545amc) — 5545AMC",Brant Business Interiors,429.99,low,0,D-SKIP,type-accessories | accessories | all-accessories,,5545amc,+3 price>=200; +2 model:5545amc; -5 parts/accessory
307,9103186002233,floor-chairmat-carpet-hard-floor-60-x-46,"Floor chairmat carpet, hard floor — 60"" x 46""",Brant Business Interiors,169.99,low,0,D-SKIP,chair-mats | chairmat-accessories | folding-chair-chair,,,
308,9963964367161,follower-block-mvlfb,Follower block mvlfb,Brant Business Interiors,29.00,low,0,D-SKIP,metal-vertical-files | vertical-file-cabinets-storage | fire-resistant-file-cabinets,,,
309,9683089654073,pod-phone-booths,Pod phone booths,Brant Business Interiors,0.00,low,0,D-SKIP,room-open-plan | all-ergonomic | ergonomic-products,,,
310,9764262936889,premium-plinth-cylinder-table-recessed-base-2,"Premium plinth cylinder table, recessed base",Brant Business Interiors,779.99,low,0,D-SKIP,height-adjustable-tables | all-tables | gfg-tables,,,+5 price>=500; -5 parts/accessory
311,9945372459321,sonic-armchair-upholstered-seat-polypropylene-back-casters-6574,"Sonic armchair, upholstered seat & polypropylene back, casters (6574) — 6574",Brant Business Interiors,296.99,low,0,D-SKIP,type-accessories | accessories | all-accessories,,6574,+3 price>=200; +2 model:6574; -5 parts/accessory
312,9683498795321,sonoma,Sonoma,Brant Business Interiors,0.00,low,0,D-SKIP,focus-rooms | all-business-furniture | business-furniture,,,
313,9747771719993,the-corby-collection,The corby collection,Brant Business Interiors,0.00,low,0,D-SKIP,height-adjustable-tables-desks | all-desks | type-desks,,,
314,9728150241593,tucana-elite-training-nesting-tables,Tucana elite training nesting tables,Brant Business Interiors,529.99,low,0,D-SKIP,training-flip-top-tables | all-storage | gfg-storage,,,+5 price>=500; -5 parts/accessory
315,9776149299513,basics-comfort-time-drafting-stool-with-or-without-arms-1,Basics comfort-time drafting stool (with or without arms),Brant Business Interiors,399.99,none,-1,D-SKIP,chair-mats | drafting-tables | height-adjustable-tables,,,+3 price>=200; -5 parts/accessory; +1 routing unknown
316,9874945835321,metal-round-metal-base,Metal round metal base,Brant Business Interiors,369.99,none,-1,D-SKIP,big-heavy-seating | desk-top-dividers | height-adjustable-tables,,,+3 price>=200; -5 parts/accessory; +1 routing unknown
317,9874949079353,metal-square-metal-base,Metal square metal base,Brant Business Interiors,369.99,none,-1,D-SKIP,big-heavy-seating | desk-top-dividers | height-adjustable-tables,,,+3 price>=200; -5 parts/accessory; +1 routing unknown
318,10158668710201,demeter-mid-back-ergonomic-chair-buyers-choice-award,"Demeter mid back ergonomic chair ""buyers choice award""",Brant Business Interiors,469.99,med,-2,D-SKIP,ergonomic-products | all-ergonomic | chair-mats,,,+3 price>=200; -5 parts/accessory
319,10107361100089,folding-chair-cart,Folding chair cart,Brant Business Interiors,299.99,med,-2,D-SKIP,chairs | folding-stacking-chairs-carts | type-chairs,,,+3 price>=200; -5 parts/accessory
320,10084137697593,lateral-file-used-5-drawer-beige-nevada,Lateral file (used) 5 drawer beige nevada — 5 drawer,Brant Business Interiors,329.99,med,-2,D-SKIP,lateral-file-cabinets-storage | room-open-plan | fire-resistant-file-cabinets,,,+3 price>=200; -5 parts/accessory
321,9874943738169,metal-cross-base-with-levelers,Metal cross base with levelers,Brant Business Interiors,369.99,med,-2,D-SKIP,bases | big-heavy-seating | desk-top-dividers,,,+3 price>=200; -5 parts/accessory
322,9968003612985,round-metal-base,Round metal base,Brant Business Interiors,369.99,med,-2,D-SKIP,bases | big-heavy-seating | desk-top-dividers,,,+3 price>=200; -5 parts/accessory
323,9841829478713,round-table-cross-base-8-colours,Round table cross base — 8 colours,Brant Business Interiors,499.99,med,-2,D-SKIP,tables | height-adjustable-tables | round-square-tables,,,+3 price>=200; -5 parts/accessory
324,10085804048697,table-tops,Table tops (17 shapes & sizes),Brant Business Interiors,475.00,med,-2,D-SKIP,tables | side-coffee-table | table-bases,,,+3 price>=200; -5 parts/accessory
325,9826724872505,work-table-at,Work table at,Brant Business Interiors,499.99,med,-2,D-SKIP,tables | desk-top-dividers | laminate-bookcases,,,+3 price>=200; -5 parts/accessory
326,9666387476793,yoho-armless-drafting-task-chair-stool,Yoho | armless drafting task chair stool,Brant Business Interiors,369.99,med,-2,D-SKIP,task-chairs | chair-mats | medium-back-seating,,,+3 price>=200; -5 parts/accessory
327,9968013639993,fax-printer-machine-stand,"Fax, printer, machine stand",Brant Business Interiors,418.00,low,-2,D-SKIP,mobile-storage | all-storage | gfg-storage,,,+3 price>=200; -5 parts/accessory
328,9100256477497,l-shaped-medium-pile-chair-mat-with-lip-66-x-60-2,"L-shaped medium pile chair mat with lip — 66"" x 60""",Brant Business Interiors,219.99,low,-2,D-SKIP,chair-mats | room-private-office | medium-back-seating,,,+3 price>=200; -5 parts/accessory
329,10030448312633,white-board-magnetic-mobile-on-wheels,White board magnetic (mobile) on wheels,Brant Business Interiors,499.99,low,-2,D-SKIP,type-accessories | accessories | all-accessories,,,+3 price>=200; -5 parts/accessory
330,9682812207417,boulevard-system-3,Boulevard system 3,Brant Business Interiors,0.00,none,-2,D-SKIP,,,,-3 thin context; +1 routing unknown
331,10085789335865,grommet-hole-cover,Grommet hole & cover,Brant Business Interiors,175.00,none,-2,D-SKIP,,,,-3 thin context; +1 routing unknown
332,9960567046457,keys-2-set,Keys 2/set,Brant Business Interiors,25.00,none,-2,D-SKIP,global-teknion | gfg-desks | fire-resistant-file-cabinets,,,-3 thin context; +1 routing unknown
333,9763429646649,credenza-lflf-1,Credenza lflf,Brant Business Interiors,1399.99,high,-3,D-SKIP,credenzas | lateral-file-cabinets-storage | storage,,,+5 price>=500; -3 thin context; -5 parts/accessory
334,9763460579641,credenza-lfmsu,Credenza lfmsu,Brant Business Interiors,1399.99,high,-3,D-SKIP,credenzas | lateral-file-cabinets-storage | storage,,,+5 price>=500; -3 thin context; -5 parts/accessory
335,9667781034297,stacking-chair-sonic-6508,Stacking chair sonic — 6508,Brant Business Interiors,141.77,med,-3,D-SKIP,chairs | task-chairs | guest-seating,,6508,+2 model:6508; -5 parts/accessory
336,10023161004345,arm-caps-for-2330-chair,Arm caps for 2330 chair,Brant Business Interiors,25.00,low,-3,D-SKIP,type-accessories | accessories | all-accessories,,2330,+2 model:2330; -5 parts/accessory
337,10102505341241,coat-tree,Coat tree,Brant Business Interiors,186.00,none,-7,D-SKIP,,,,-3 thin context; -5 parts/accessory; +1 routing unknown
338,9766928220473,hardfloor-casters,Hardfloor casters,Brant Business Interiors,39.99,low,-8,D-SKIP,type-accessories | accessories | all-accessories,,,-3 thin context; -5 parts/accessory
