handle,primary_sku,manufacturer_guess,status,still_missing,filled,research_notes
basics-comfort-time-ultra-multi-tilter-chair-with-headrest,GLB BAOMVL1875G5,OTG / Offices to Go,UNSOURCEABLE,dimensions+weight,(none),"Model GLB BAOMVL1875G5 = Global 'Basics' Comfort-Time Ultra Multi-Tilter, High Back WITH headrest, fully adjustable G5 arms. This is Global Furniture Group's 'Basics' value/contract line. Searched globalfurnituregroup.com and officestogo.com: the Comfort-Time Ultra series (MVL1875/MVL1873) has NO indexed model page or spec sheet on either manufacturer domain. The Offices to Go product-specificatio"
basics-elora-chair-high-back-black-leather-luxhide-mvl1893upu30bl20,GLB-MVL1893U,OTG / Offices to Go,UNSOURCEABLE,dimensions+weight,(none),"Model GLB-MVL1893U = Global 'Basics' Elora ergonomic chair, High Back, black Luxhide bonded leather. Global 'Basics' value/contract line. No model page or spec sheet found on globalfurnituregroup.com (search returned only the unrelated Davis Furniture 'Elora' and Global lounge/task series) or on officestogo.com. The OTG product-specifications resource index does not list an Elora series. Only deal"
bookcase-15-sizes-available,BCMB2429,OTG / Offices to Go,UNSOURCEABLE,weight,(none),"Could not match SKU prefix BCMB (BCMB2429 ... BCMB3672) to any manufacturer-domain product page. Searched officestogo.com (vendor = OTG/Offices to Go) and globalfurnituregroup.com (Global's metal bookcase models use codes like 91SBC4-36 and MVLBC, not BCMB). No manufacturer page found that ties these exact 15 SKUs to dimensions or weight, so all fields left empty per WRONG-DATA rule. Needs interna"
comfort-time-ultra-petit-seat-multi-tilter-chair-high-back-baomvl1880g5,GLB BAOMVL1880G5,OTG / Offices to Go,UNSOURCEABLE,dimensions+weight,(none),"Model GLB BAOMVL1880G5 = Global 'Basics' Comfort-Time Ultra Multi-Tilter, High Back, PETITE seat, G5 arms. Same Global 'Basics' value line as MVL1875. No model page or spec sheet found on globalfurnituregroup.com or officestogo.com; the OTG product-specifications resource index does not list this series. Only reseller/distributor pages reference it (none manufacturer-owned, so disqualified). No qu"
coffee-table,OSP-MG1242S-NB,Office Star Products,UNSOURCEABLE,weight,(none),Office Star Products (manufacturer) MG1242S-NB 'Brooklyn Rectangle Coffee Table' WorkSmart spec sheet on media.officestar.net. SKU matches exactly (OSP-MG1242S-NB). 'needs' only requested weight; dimensions also captured from same sheet. Weight listed is Carton Weight (no separate product weight given). Spec PDF is image/vector-based so WebFetch could not extract text; read directly from the downl
coffee-table-chrome,OSP-WST12WH,Office Star Products,UNSOURCEABLE,dimensions+weight,(none),"Office Star Products (manufacturer) WST12 'Wall Street Coffee Table' spec sheet on media.officestar.net (OSP Home Furnishings header). Spec sheet covers all three color variants (WST12 Espresso, WST12-BK Black, WST12-WH White) which share one identical chassis, so dims/weight apply to primary SKU OSP-WST12WH and the BLK/ESPRESS variants. Weight listed is Carton Weight (no separate product weight g"
end-table-glass-top,OSP-MG0922S-NB,Office Star Products,UNSOURCEABLE,dimensions+weight,(none),"Office Star (manufacturer) spec sheet for SKU MG0922S-NB, Brooklyn Square End Table, Nickel Brush/Glass Top, dated 3-30-2023, hosted on media.officestar.net. Only carton (shipping) weight is published, 24 lbs; no separate product/net weight given. Carton dimensions on sheet: 26"" L x 25"" W x 5"" H."
folding-table-36-bt36-resin,OSP-BT36,Office Star Products,UNSOURCEABLE,weight,(none),"Office Star (manufacturer) spec sheet for SKU BT36, 36"" Square Resin Table, dated 6-24-2022, hosted on media.officestar.net. Note: this is a SQUARE 36x36 resin folding table, not round (BBI title says 'Folding table 36"" BT36 resin'). Only carton (shipping) weight published, 25 lbs; no separate net/product weight. Capacity 350 lbs evenly distributed."
gaming-chair,OSP-UPK25,Office Star Products,UNSOURCEABLE,dimensions+weight,(none),"Office Star DESIGNlab By OSP (manufacturer) spec sheet for SKU UPK25, Uplink Gaming Chair, dated 8-18-2022, hosted on media.officestar.net. Only carton (shipping) weight published, 43 lbs; no separate net/product weight. Seat Range (seat height) 18.5-22.25""."
pneumatic-height-adjustable-table,OSP-HAT60241,Office Star Products,UNSOURCEABLE,dimensions+weight,(none),"Manufacturer = Office Star Products (officestarproducts.com / ospfurniture.com). SKUs OSP-HAT60241/60251/60261 = 4ft/5ft/6ft sizes of the same line. Manufacturer domain officestarproducts.com refused connection (ECONNREFUSED) and officestar.net returned HTTP 403 Forbidden; no manufacturer-domain product page surfaced in search. Could not obtain verbatim manufacturer-domain text, so all fields left"
round-table-glass-top-1,OSP-MG0920R-NB,Office Star Products,UNSOURCEABLE,dimensions+weight,(none),Office Star Products (manufacturer) MG0920R-NB 'Brooklyn Round End Table' WorkSmart spec sheet on media.officestar.net. SKU matches exactly (OSP-MG0920R-NB). Weight listed is Carton Weight (no separate product weight given). Spec PDF is image/vector-based so WebFetch could not extract text; read directly from the downloaded PDF.
xplorer-51-gaming-chair,OSPXPL5125,Office Star Products,UNSOURCEABLE,dimensions+weight,(none),"Manufacturer = Office Star Products (officestarproducts.com / ospfurniture.com). The manufacturer domain officestarproducts.com refused connection (ECONNREFUSED) and the manufacturer B2B site officestar.net returned HTTP 403 Forbidden (bot-blocked) on every fetch attempt; no manufacturer-domain product page for XPL5125 surfaced in search. Could not obtain verbatim manufacturer-domain text, so all "
outdoor-park-benches,SCN-NJ027,Produits Re-Plast,UNSOURCEABLE,weight,(none),"Weight verified on Produits Re-Plast (manufacturer) technical data sheet PDF for model 16P-5, which is the 60"" Standard Park Bench = primary SKU SCN-NJ027 (resellers Tenaquip/SCN list NJ027 as Produits Re-Plast 16P-5/SAH, 60""L). The needs field requested weight only; dimensions therefore left empty (though the same sheet states 60""L x 23.5""W [597mm] x 38.5""H). The second SKU SCN-NJ029 is the 72"" b"
power-plant-500222pp90-daisychaining,RIC500222PP90,Richelieu,UNSOURCEABLE,dimensions+weight,(none),"Manufacturer page found on Richelieu's own domain (https://www.richelieu.com/us/en/category/lighting-solutions-and-accessories/communication-power-access-boxes-and-wire-management/communication-and-power-access-boxes/power-plant-power-bars/1209581/sku-500222PP90) for SKU 500222PP90. The page lists electrical/feature specs only ('9' SJT #14 cord 90deg plug', 'Input: 110 V 12 A', 'USB output: 5 V 2."
triple-monitor-and-ipad-holder,RIC 500FP23100 & FEL 8044101,Richelieu,UNSOURCEABLE,dimensions+weight,(none),"This product is a two-SKU bundle (RIC 500FP23100 + FEL 8044101), not a single model. RIC 500FP23100 resolves on richelieu.com to the 'Flexa Pro Series Heavy-Duty Spring-Action Monitor Arm' (a single-monitor arm, not a triple), and FEL 8044101 is a separate Fellowes iPad holder. Per strict rule #3, a single overall dimension/weight cannot be tied to a multi-component bundle, so both fields left emp"
drafting-table-safco-vista-drawing-table,SAF-SAF3960-3951,Safco,UNSOURCEABLE,weight,(none),"SKU SAF-SAF3960-3951 is a two-piece assembly: Vista drawing table BASE 3960 + table TOP 3951, sold/shipped separately. The 3960 base product page is no longer live on the manufacturer domain (http://www.safcoproducts.com/vista-drawing-table-base-3960 returns HTTP 404; new-format slug also 404s), so no base or complete-table weight could be verified on safcoproducts.com. The matching TOP 3951 IS li"
halifax-typical-4,TAY-HALIFAXTYP4,Tayco,UNSOURCEABLE,weight,(none),"Worklist 'needs' only weight for this handle, but dimensions were also verifiable so they are included. Tayco 'Halifax Typical 4' is a multi-component room-layout configuration; dimension reported is the layout FOOTPRINT (6' x 6') stated verbatim on Tayco's own Typicals resource page tied to the exact 'Typical 4' name; not a packed-product W x D x H. WEIGHT: none on any Tayco-domain page. Halifax "
